,Droplet ID,File,Channel,Intensity
216,108,Image20h,4X_FITC_15%,14430.44
217,108,Image20h,Brightfield,4057.88
218,109,Image20h,4X_FITC_15%,13691.24
219,109,Image20h,Brightfield,3599.8
220,110,Image20h,4X_FITC_15%,14049.08
221,110,Image20h,Brightfield,3215.24
222,111,Image20h,4X_FITC_15%,12879.64
223,111,Image20h,Brightfield,4119.64
224,112,Image20h,4X_FITC_15%,14686.76
225,112,Image20h,Brightfield,3816.28
226,113,Image20h,4X_FITC_15%,16266.4
227,113,Image20h,Brightfield,3984.8
228,114,Image20h,4X_FITC_15%,18691.08
229,114,Image20h,Brightfield,3504.36
230,115,Image20h,4X_FITC_15%,20541.88
231,115,Image20h,Brightfield,4090.72
232,116,Image20h,4X_FITC_15%,15355.48
233,116,Image20h,Brightfield,3866.32
234,117,Image20h,4X_FITC_15%,16579.44
235,117,Image20h,Brightfield,3222.32
236,118,Image20h,4X_FITC_15%,8227.4
237,118,Image20h,Brightfield,3410.8
238,119,Image20h,4X_FITC_15%,21369.88
239,119,Image20h,Brightfield,3503.12
240,120,Image20h,4X_FITC_15%,6845.8
241,120,Image20h,Brightfield,3096.08
242,121,Image20h,4X_FITC_15%,10815.04
243,121,Image20h,Brightfield,2678.68
244,122,Image20h,4X_FITC_15%,19874.72
245,122,Image20h,Brightfield,3570.2
246,123,Image20h,4X_FITC_15%,20001.08
247,123,Image20h,Brightfield,4351.04
248,124,Image20h,4X_FITC_15%,11944.32
249,124,Image20h,Brightfield,3203.4
250,125,Image20h,4X_FITC_15%,19159.04
251,125,Image20h,Brightfield,2977.84
252,126,Image20h,4X_FITC_15%,13087.68
253,126,Image20h,Brightfield,3792.08
254,127,Image20h,4X_FITC_15%,15402.8
255,127,Image20h,Brightfield,4060.52
256,128,Image20h,4X_FITC_15%,12920.64
257,128,Image20h,Brightfield,4224.44
258,129,Image20h,4X_FITC_15%,15229.24
259,129,Image20h,Brightfield,3495.12
260,130,Image20h,4X_FITC_15%,16365.56
261,130,Image20h,Brightfield,3097.8
262,131,Image20h,4X_FITC_15%,4423.88
263,131,Image20h,Brightfield,2823.0
264,132,Image20h,4X_FITC_15%,14381.6
265,132,Image20h,Brightfield,4148.68
266,133,Image20h,4X_FITC_15%,16112.64
267,133,Image20h,Brightfield,3575.36
268,134,Image20h,4X_FITC_15%,11744.12
269,134,Image20h,Brightfield,3893.12
270,135,Image20h,4X_FITC_15%,18832.04
271,135,Image20h,Brightfield,3522.84
272,136,Image20h,4X_FITC_15%,18172.04
273,136,Image20h,Brightfield,2509.52
274,137,Image20h,4X_FITC_15%,10472.48
275,137,Image20h,Brightfield,3363.8
276,138,Image20h,4X_FITC_15%,18871.36
277,138,Image20h,Brightfield,2555.36
278,139,Image20h,4X_FITC_15%,14827.32
279,139,Image20h,Brightfield,3989.68
280,140,Image20h,4X_FITC_15%,12846.2
281,140,Image20h,Brightfield,3572.84
282,141,Image20h,4X_FITC_15%,15706.64
283,141,Image20h,Brightfield,3244.96
284,142,Image20h,4X_FITC_15%,17181.28
285,142,Image20h,Brightfield,3362.36
286,143,Image20h,4X_FITC_15%,10536.8
287,143,Image20h,Brightfield,3008.52
288,144,Image20h,4X_FITC_15%,17704.16
289,144,Image20h,Brightfield,3053.84
290,145,Image20h,4X_FITC_15%,18031.24
291,145,Image20h,Brightfield,3614.92
292,146,Image20h,4X_FITC_15%,19905.6
293,146,Image20h,Brightfield,3423.64
294,147,Image20h,4X_FITC_15%,14346.68
295,147,Image20h,Brightfield,4010.28
296,148,Image20h,4X_FITC_15%,14967.44
297,148,Image20h,Brightfield,3946.8
298,149,Image20h,4X_FITC_15%,4167.4
299,149,Image20h,Brightfield,4662.76
300,150,Image20h,4X_FITC_15%,9354.36
301,150,Image20h,Brightfield,3516.92
302,151,Image20h,4X_FITC_15%,19977.32
303,151,Image20h,Brightfield,3454.72
304,152,Image20h,4X_FITC_15%,19322.68
305,152,Image20h,Brightfield,3907.48
306,153,Image20h,4X_FITC_15%,15993.36
307,153,Image20h,Brightfield,3586.04
308,154,Image20h,4X_FITC_15%,10803.4
309,154,Image20h,Brightfield,3257.04
310,155,Image20h,4X_FITC_15%,15953.56
311,155,Image20h,Brightfield,2983.96
312,156,Image20h,4X_FITC_15%,10998.2
313,156,Image20h,Brightfield,2918.16
314,157,Image20h,4X_FITC_15%,18480.32
315,157,Image20h,Brightfield,4018.24
316,158,Image20h,4X_FITC_15%,17795.8
317,158,Image20h,Brightfield,2832.32
318,159,Image20h,4X_FITC_15%,18968.88
319,159,Image20h,Brightfield,2532.8
320,160,Image20h,4X_FITC_15%,3457.8
321,160,Image20h,Brightfield,3301.36
322,161,Image20h,4X_FITC_15%,19402.04
323,161,Image20h,Brightfield,3428.8
324,162,Image20h,4X_FITC_15%,16033.12
325,162,Image20h,Brightfield,3344.28
326,163,Image20h,4X_FITC_15%,15653.24
327,163,Image20h,Brightfield,3838.12
328,164,Image20h,4X_FITC_15%,16455.64
329,164,Image20h,Brightfield,2698.8
330,165,Image20h,4X_FITC_15%,13827.8
331,165,Image20h,Brightfield,3833.08
332,166,Image20h,4X_FITC_15%,12149.2
333,166,Image20h,Brightfield,3591.8
334,167,Image20h,4X_FITC_15%,8347.48
335,167,Image20h,Brightfield,2857.6
336,168,Image20h,4X_FITC_15%,12059.28
337,168,Image20h,Brightfield,3015.84
338,169,Image20h,4X_FITC_15%,14708.56
339,169,Image20h,Brightfield,3786.4
340,170,Image20h,4X_FITC_15%,19998.92
341,170,Image20h,Brightfield,3007.2
342,171,Image20h,4X_FITC_15%,19720.24
343,171,Image20h,Brightfield,4385.76
344,172,Image20h,4X_FITC_15%,19036.92
345,172,Image20h,Brightfield,3080.76
346,173,Image20h,4X_FITC_15%,12038.24
347,173,Image20h,Brightfield,2480.32
348,174,Image20h,4X_FITC_15%,14007.8
349,174,Image20h,Brightfield,3212.04
350,175,Image20h,4X_FITC_15%,15571.92
351,175,Image20h,Brightfield,3200.92
352,176,Image20h,4X_FITC_15%,17065.12
353,176,Image20h,Brightfield,2746.24
354,177,Image20h,4X_FITC_15%,19028.64
355,177,Image20h,Brightfield,2383.88
356,178,Image20h,4X_FITC_15%,15998.04
357,178,Image20h,Brightfield,3430.72
358,179,Image20h,4X_FITC_15%,13782.92
359,179,Image20h,Brightfield,4317.12
360,180,Image20h,4X_FITC_15%,17215.88
361,180,Image20h,Brightfield,3334.96
362,181,Image20h,4X_FITC_15%,15383.8
363,181,Image20h,Brightfield,3273.52
364,182,Image20h,4X_FITC_15%,19915.92
365,182,Image20h,Brightfield,2872.12
366,183,Image20h,4X_FITC_15%,20875.68
367,183,Image20h,Brightfield,2952.28
368,184,Image20h,4X_FITC_15%,21152.28
369,184,Image20h,Brightfield,3635.28
370,185,Image20h,4X_FITC_15%,13994.36
371,185,Image20h,Brightfield,3678.12
372,186,Image20h,4X_FITC_15%,14966.36
373,186,Image20h,Brightfield,4160.0
374,187,Image20h,4X_FITC_15%,18176.04
375,187,Image20h,Brightfield,2862.32
376,188,Image20h,4X_FITC_15%,19272.0
377,188,Image20h,Brightfield,3335.2
378,189,Image20h,4X_FITC_15%,16978.64
379,189,Image20h,Brightfield,3446.72
380,190,Image20h,4X_FITC_15%,18114.72
381,190,Image20h,Brightfield,2948.28
382,191,Image20h,4X_FITC_15%,11814.68
383,191,Image20h,Brightfield,3892.08
384,192,Image20h,4X_FITC_15%,13852.92
385,192,Image20h,Brightfield,2554.36
386,193,Image20h,4X_FITC_15%,17465.92
387,193,Image20h,Brightfield,3806.88
388,194,Image20h,4X_FITC_15%,15514.76
389,194,Image20h,Brightfield,2921.2
390,195,Image20h,4X_FITC_15%,14952.6
391,195,Image20h,Brightfield,2474.08
392,196,Image20h,4X_FITC_15%,18956.12
393,196,Image20h,Brightfield,2911.64
394,197,Image20h,4X_FITC_15%,19334.04
395,197,Image20h,Brightfield,3212.44
396,198,Image20h,4X_FITC_15%,5461.12
397,198,Image20h,Brightfield,3176.12
398,199,Image20h,4X_FITC_15%,14924.6
399,199,Image20h,Brightfield,4117.52
400,200,Image20h,4X_FITC_15%,16808.84
401,200,Image20h,Brightfield,3546.28
402,201,Image20h,4X_FITC_15%,13240.44
403,201,Image20h,Brightfield,4448.76
404,202,Image20h,4X_FITC_15%,21827.64
405,202,Image20h,Brightfield,4033.56
406,203,Image20h,4X_FITC_15%,19354.88
407,203,Image20h,Brightfield,3506.24
408,204,Image20h,4X_FITC_15%,7822.6
409,204,Image20h,Brightfield,3344.2
410,205,Image20h,4X_FITC_15%,19073.16
411,205,Image20h,Brightfield,3595.72
412,206,Image20h,4X_FITC_15%,20040.96
413,206,Image20h,Brightfield,3413.32
414,207,Image20h,4X_FITC_15%,21286.84
415,207,Image20h,Brightfield,3538.32
416,208,Image20h,4X_FITC_15%,14182.04
417,208,Image20h,Brightfield,3409.64
418,209,Image20h,4X_FITC_15%,15837.08
419,209,Image20h,Brightfield,3204.8
420,210,Image20h,4X_FITC_15%,8102.04
421,210,Image20h,Brightfield,3556.16
422,211,Image20h,4X_FITC_15%,11425.64
423,211,Image20h,Brightfield,3665.56
424,212,Image20h,4X_FITC_15%,15816.0
425,212,Image20h,Brightfield,3974.52
426,213,Image20h,4X_FITC_15%,16075.96
427,213,Image20h,Brightfield,2894.0
428,214,Image20h,4X_FITC_15%,12912.0
429,214,Image20h,Brightfield,2683.88
430,215,Image20h,4X_FITC_15%,19056.6
431,215,Image20h,Brightfield,2985.68
432,216,Image20h,4X_FITC_15%,22061.4
433,216,Image20h,Brightfield,3298.52
434,217,Image20h,4X_FITC_15%,18186.68
435,217,Image20h,Brightfield,2606.48
436,218,Image20h,4X_FITC_15%,11046.72
437,218,Image20h,Brightfield,2892.88
438,219,Image20h,4X_FITC_15%,15264.72
439,219,Image20h,Brightfield,3377.4
440,220,Image20h,4X_FITC_15%,21235.6
441,220,Image20h,Brightfield,3286.36
442,221,Image20h,4X_FITC_15%,11886.4
443,221,Image20h,Brightfield,4255.52
444,222,Image20h,4X_FITC_15%,12586.48
445,222,Image20h,Brightfield,2785.08
446,223,Image20h,4X_FITC_15%,16083.6
447,223,Image20h,Brightfield,3258.84
448,224,Image20h,4X_FITC_15%,17944.12
449,224,Image20h,Brightfield,2724.56
450,225,Image20h,4X_FITC_15%,8819.16
451,225,Image20h,Brightfield,3429.04
452,226,Image20h,4X_FITC_15%,11129.12
453,226,Image20h,Brightfield,3130.92
454,227,Image20h,4X_FITC_15%,16467.2
455,227,Image20h,Brightfield,3388.04
456,228,Image20h,4X_FITC_15%,16771.6
457,228,Image20h,Brightfield,3622.4
458,229,Image20h,4X_FITC_15%,14275.4
459,229,Image20h,Brightfield,3119.16
460,230,Image20h,4X_FITC_15%,18455.36
461,230,Image20h,Brightfield,3353.4
462,231,Image20h,4X_FITC_15%,19071.88
463,231,Image20h,Brightfield,3174.8
464,232,Image20h,4X_FITC_15%,4587.52
465,232,Image20h,Brightfield,3932.08
466,233,Image20h,4X_FITC_15%,11844.76
467,233,Image20h,Brightfield,2903.24
468,234,Image20h,4X_FITC_15%,12564.76
469,234,Image20h,Brightfield,4385.6
470,235,Image20h,4X_FITC_15%,15652.76
471,235,Image20h,Brightfield,3318.44
472,236,Image20h,4X_FITC_15%,17713.2
473,236,Image20h,Brightfield,3431.72
474,237,Image20h,4X_FITC_15%,13115.32
475,237,Image20h,Brightfield,2603.88
476,238,Image20h,4X_FITC_15%,15351.4
477,238,Image20h,Brightfield,3067.48
478,239,Image20h,4X_FITC_15%,15410.96
479,239,Image20h,Brightfield,3668.48
480,240,Image20h,4X_FITC_15%,15127.36
481,240,Image20h,Brightfield,2624.36
482,241,Image20h,4X_FITC_15%,16333.2
483,241,Image20h,Brightfield,2583.24
484,242,Image20h,4X_FITC_15%,19771.08
485,242,Image20h,Brightfield,3571.12
486,243,Image20h,4X_FITC_15%,17304.68
487,243,Image20h,Brightfield,3484.52
488,244,Image20h,4X_FITC_15%,17552.36
489,244,Image20h,Brightfield,3808.08
490,245,Image20h,4X_FITC_15%,19250.0
491,245,Image20h,Brightfield,3405.64
492,246,Image20h,4X_FITC_15%,12337.52
493,246,Image20h,Brightfield,3255.56
494,247,Image20h,4X_FITC_15%,16071.6
495,247,Image20h,Brightfield,4038.72
496,248,Image20h,4X_FITC_15%,20604.64
497,248,Image20h,Brightfield,2714.52
498,249,Image20h,4X_FITC_15%,13907.0
499,249,Image20h,Brightfield,3023.32
500,250,Image20h,4X_FITC_15%,19870.32
501,250,Image20h,Brightfield,3064.84
502,251,Image20h,4X_FITC_15%,16733.8
503,251,Image20h,Brightfield,3870.96
504,252,Image20h,4X_FITC_15%,11446.08
505,252,Image20h,Brightfield,3681.56
506,253,Image20h,4X_FITC_15%,19325.28
507,253,Image20h,Brightfield,2741.96
508,254,Image20h,4X_FITC_15%,13213.64
509,254,Image20h,Brightfield,2779.8
510,255,Image20h,4X_FITC_15%,16738.56
511,255,Image20h,Brightfield,2542.48
512,256,Image20h,4X_FITC_15%,12078.76
513,256,Image20h,Brightfield,2424.52
514,257,Image20h,4X_FITC_15%,11545.84
515,257,Image20h,Brightfield,2981.44
516,258,Image20h,4X_FITC_15%,16562.92
517,258,Image20h,Brightfield,3679.92
518,259,Image20h,4X_FITC_15%,18117.52
519,259,Image20h,Brightfield,2395.64
520,260,Image20h,4X_FITC_15%,18633.16
521,260,Image20h,Brightfield,2554.68
522,261,Image20h,4X_FITC_15%,14658.56
523,261,Image20h,Brightfield,3969.84
524,262,Image20h,4X_FITC_15%,10943.52
525,262,Image20h,Brightfield,2965.84
526,263,Image20h,4X_FITC_15%,11635.08
527,263,Image20h,Brightfield,3253.4
528,264,Image20h,4X_FITC_15%,16617.28
529,264,Image20h,Brightfield,4016.6
530,265,Image20h,4X_FITC_15%,17379.84
531,265,Image20h,Brightfield,3077.92
532,266,Image20h,4X_FITC_15%,13385.6
533,266,Image20h,Brightfield,2942.16
534,267,Image20h,4X_FITC_15%,17348.56
535,267,Image20h,Brightfield,2895.92
536,268,Image20h,4X_FITC_15%,9355.64
537,268,Image20h,Brightfield,2885.44
538,269,Image20h,4X_FITC_15%,18512.52
539,269,Image20h,Brightfield,3125.48
540,270,Image20h,4X_FITC_15%,19411.76
541,270,Image20h,Brightfield,3022.92
542,271,Image20h,4X_FITC_15%,9011.28
543,271,Image20h,Brightfield,2954.72
544,272,Image20h,4X_FITC_15%,21554.8
545,272,Image20h,Brightfield,3914.8
546,273,Image20h,4X_FITC_15%,20080.16
547,273,Image20h,Brightfield,3119.52
548,274,Image20h,4X_FITC_15%,11921.64
549,274,Image20h,Brightfield,3084.28
550,275,Image20h,4X_FITC_15%,11705.8
551,275,Image20h,Brightfield,3144.76
552,276,Image20h,4X_FITC_15%,8037.28
553,276,Image20h,Brightfield,2127.72
554,277,Image20h,4X_FITC_15%,13917.52
555,277,Image20h,Brightfield,4016.4
556,278,Image20h,4X_FITC_15%,14934.36
557,278,Image20h,Brightfield,4245.6
558,279,Image20h,4X_FITC_15%,21393.2
559,279,Image20h,Brightfield,3529.64
560,280,Image20h,4X_FITC_15%,18385.4
561,280,Image20h,Brightfield,5036.16
562,281,Image20h,4X_FITC_15%,18927.48
563,281,Image20h,Brightfield,3004.12
564,282,Image20h,4X_FITC_15%,3573.64
565,282,Image20h,Brightfield,4051.68
566,283,Image20h,4X_FITC_15%,12419.36
567,283,Image20h,Brightfield,3289.52
568,284,Image20h,4X_FITC_15%,14023.12
569,284,Image20h,Brightfield,3064.16
570,285,Image20h,4X_FITC_15%,20609.04
571,285,Image20h,Brightfield,3538.16
572,286,Image20h,4X_FITC_15%,19270.04
573,286,Image20h,Brightfield,2946.6
574,287,Image20h,4X_FITC_15%,11535.48
575,287,Image20h,Brightfield,2937.6
576,288,Image20h,4X_FITC_15%,13322.08
577,288,Image20h,Brightfield,3608.32
578,289,Image20h,4X_FITC_15%,15694.84
579,289,Image20h,Brightfield,2416.68
580,290,Image20h,4X_FITC_15%,18760.28
581,290,Image20h,Brightfield,4288.52
582,291,Image20h,4X_FITC_15%,10385.56
583,291,Image20h,Brightfield,3055.32
584,292,Image20h,4X_FITC_15%,5177.76
585,292,Image20h,Brightfield,3750.28
586,293,Image20h,4X_FITC_15%,16530.64
587,293,Image20h,Brightfield,3611.16
588,294,Image20h,4X_FITC_15%,17926.36
589,294,Image20h,Brightfield,3406.24
590,295,Image20h,4X_FITC_15%,16620.92
591,295,Image20h,Brightfield,3075.4
592,296,Image20h,4X_FITC_15%,14726.28
593,296,Image20h,Brightfield,4408.76
594,297,Image20h,4X_FITC_15%,17818.84
595,297,Image20h,Brightfield,3100.2
596,298,Image20h,4X_FITC_15%,14490.96
597,298,Image20h,Brightfield,4372.0
598,299,Image20h,4X_FITC_15%,14196.32
599,299,Image20h,Brightfield,3197.2
600,300,Image20h,4X_FITC_15%,15953.56
601,300,Image20h,Brightfield,2704.16
602,301,Image20h,4X_FITC_15%,16215.32
603,301,Image20h,Brightfield,2980.88
604,302,Image20h,4X_FITC_15%,15574.52
605,302,Image20h,Brightfield,4385.52
606,303,Image20h,4X_FITC_15%,18490.2
607,303,Image20h,Brightfield,3994.32
608,304,Image20h,4X_FITC_15%,12064.16
609,304,Image20h,Brightfield,2594.96
610,305,Image20h,4X_FITC_15%,19553.36
611,305,Image20h,Brightfield,3351.28
612,306,Image20h,4X_FITC_15%,10742.64
613,306,Image20h,Brightfield,3530.76
614,307,Image20h,4X_FITC_15%,7877.24
615,307,Image20h,Brightfield,3612.68
616,308,Image20h,4X_FITC_15%,15943.88
617,308,Image20h,Brightfield,4286.52
618,309,Image20h,4X_FITC_15%,21077.12
619,309,Image20h,Brightfield,3515.84
620,310,Image20h,4X_FITC_15%,4125.92
621,310,Image20h,Brightfield,4470.76
622,311,Image20h,4X_FITC_15%,17535.52
623,311,Image20h,Brightfield,2487.76
624,312,Image20h,4X_FITC_15%,13324.96
625,312,Image20h,Brightfield,3482.56
626,313,Image20h,4X_FITC_15%,11405.64
627,313,Image20h,Brightfield,2516.32
628,314,Image20h,4X_FITC_15%,18957.2
629,314,Image20h,Brightfield,3101.36
630,315,Image20h,4X_FITC_15%,15863.2
631,315,Image20h,Brightfield,4776.64
632,316,Image20h,4X_FITC_15%,19071.44
