Area,Intensity,Eccentricity,Time
1511.0,17312.16015625,0.8595537533742298,0.0
81.0,231.87109375,0.0,0.0
81.0,201.80078125,0.0,0.0
2827.0,33796.7578125,0.17487335956440328,0.0
2940.0,5544.80078125,0.2593557434751262,0.0
378.0,4584.7421875,0.8625398813220746,0.0
2757.0,5565.59765625,0.5007218878014312,0.0
110.0,317.796875,0.43921127402467725,0.0
2608.0,30193.55078125,0.16003367389462048,0.0
123.0,295.03515625,0.3440852119079631,0.0
3053.0,5668.1640625,0.22471172447810012,0.0
3040.0,5524.19921875,0.2587756467347125,0.0
142.0,412.09765625,0.31965529291480044,0.0
2664.0,27252.13671875,0.4622128097442738,0.0
139.0,337.625,0.2680123622235791,0.0
81.0,151.96484375,0.0,0.0
3057.0,5825.4140625,0.17412337246056603,0.0
81.0,159.57421875,0.0,0.0
81.0,188.67578125,0.0,0.0
3035.0,5435.015625,0.2766004645713374,0.0
3046.0,6115.20703125,0.2136988415544764,0.0
3067.0,5807.3203125,0.24537642137800522,0.0
2954.0,34743.41015625,0.1606841286759213,0.0
81.0,225.38671875,0.0,0.0
3112.0,5606.21875,0.1856821979932729,0.0
2872.0,33800.8046875,0.14342723233681787,0.0
139.0,332.25390625,0.3138484641917696,0.0
141.0,266.17578125,0.5298667749534838,0.0
81.0,152.23046875,0.0,0.0
2451.0,4665.703125,0.21297960073583908,0.0
81.0,212.046875,0.0,0.0
2975.0,5423.421875,0.2121907249402018,0.0
2815.0,33530.87109375,0.17404567029086632,0.0
179.0,474.16796875,0.42826353020745694,0.0
81.0,152.140625,0.0,0.0
2896.0,34780.58203125,0.12105262272336852,0.0
81.0,189.265625,0.0,0.0
92.0,273.62109375,0.3468889594776243,0.0
2794.0,34078.953125,0.19008401332746488,0.0
2965.0,5388.93359375,0.2189884960662923,0.0
2990.0,35900.6328125,0.11796563566615764,0.0
162.0,430.046875,0.4787080798403422,0.0
2863.0,36543.60546875,0.15778967263616106,0.0
81.0,198.68359375,0.0,0.0
92.0,261.703125,0.3468889594776243,0.0
3034.0,5747.8828125,0.22977564855684654,0.0
3255.0,6282.078125,0.18915275218412744,0.0
81.0,192.0859375,0.0,0.0
81.0,176.24609375,0.0,0.0
2853.0,32871.73828125,0.21287186376548997,0.0
92.0,242.42578125,0.3468889594776243,0.0
2752.0,34363.25,0.2259319589421662,0.0
2948.0,34025.39453125,0.08828375994028768,0.0
130.0,336.41796875,0.41153794775111413,0.0
121.0,309.60546875,0.08490304078804166,0.0
92.0,241.453125,0.3468889594776243,0.0
2781.0,33345.53515625,0.17149731493442685,0.0
2886.0,32715.28125,0.16884863425518468,0.0
126.0,353.734375,0.43802983552119884,0.0
132.0,400.484375,0.2880991460665416,0.0
3094.0,5943.01171875,0.14824027176499202,0.0
81.0,240.44140625,0.0,0.0
2752.0,34343.12890625,0.17364318576525647,0.0
147.0,345.41015625,0.4946325940725901,0.0
81.0,228.2734375,0.0,0.0
177.0,662.16015625,0.48939635462327896,0.0
3037.0,5876.9140625,0.2390333186590046,0.0
